goos: linux
goarch: arm64
pkg: project/benchmark
BenchmarkEnvelopeSerialize/CBOR/5Attrs-4         	  531361	     11199 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/5Attrs-4         	  527796	     11246 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/5Attrs-4         	  517970	     11240 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/5Attrs-4         	  526891	     11186 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/5Attrs-4 	  542396	     10999 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/5Attrs-4 	  533596	     10977 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/5Attrs-4 	  545596	     11125 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/5Attrs-4 	  536436	     11049 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/5Attrs-4 	  502921	     11150 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/5Attrs-4 	  537784	     11227 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/5Attrs-4 	  531555	     11179 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/5Attrs-4 	  525780	     11187 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/5Attrs-4       	   21104	    284004 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
